minute,x,y,xg,result,team,player
4,0.9119999694824219,0.45599998474121095,0.4754866063594818,SavedShot,Sevilla,Ivan Rakitic
14,0.899000015258789,0.7169999694824218,0.03740036487579346,MissedShots,Sevilla,Marcos Acuña
37,0.8630000305175781,0.41,0.08071151375770569,BlockedShot,Sevilla,Nemanja Gudelj
37,0.9109999847412109,0.385,0.028961842879652977,MissedShots,Sevilla,Ivan Rakitic
45,0.8640000152587891,0.605999984741211,0.032676730304956436,BlockedShot,Sevilla,Erik Lamela
45,0.88,0.54,0.08018067479133606,BlockedShot,Sevilla,Erik Lamela
51,0.8809999847412109,0.47299999237060547,0.07937512546777725,SavedShot,Sevilla,Erik Lamela
70,0.7019999694824218,0.4279999923706055,0.008130754344165325,SavedShot,Sevilla,Alejandro Gomez
85,0.705999984741211,0.6809999847412109,0.0088537922129035,SavedShot,Sevilla,Ivan Rakitic
20,0.875999984741211,0.6120000076293945,0.3020194470882416,BlockedShot,Barcelona,Robert Lewandowski
20,0.985999984741211,0.4759999847412109,0.9778236150741577,Goal,Barcelona,Raphinha
23,0.8230000305175781,0.29100000381469726,0.040842022746801376,MissedShots,Barcelona,Raphinha
30,0.9119999694824219,0.735,0.0431106835603714,MissedShots,Barcelona,Ousmane Dembélé
35,0.865,0.5259999847412109,0.3689872920513153,Goal,Barcelona,Robert Lewandowski
44,0.9290000152587891,0.4779999923706055,0.4568481743335724,MissedShots,Barcelona,Jules Koundé
46,0.8980000305175782,0.5479999923706055,0.4772443175315857,MissedShots,Barcelona,Ousmane Dembélé
49,0.9690000152587891,0.48,0.555981457233429,Goal,Barcelona,Eric Garcia
57,0.8569999694824219,0.45099998474121095,0.12237460911273956,MissedShots,Barcelona,Ousmane Dembélé
61,0.92,0.5309999847412109,0.4772126376628876,SavedShot,Barcelona,Robert Lewandowski
66,0.774000015258789,0.6730000305175782,0.033099494874477386,MissedShots,Barcelona,Ferrán Torres
71,0.7290000152587891,0.5029999923706054,0.0584409236907959,MissedShots,Barcelona,Raphinha
72,0.835,0.4420000076293945,0.4053570032119751,SavedShot,Barcelona,Robert Lewandowski
72,0.9269999694824219,0.5840000152587891,0.4832451641559601,BlockedShot,Barcelona,Frenkie de Jong
74,0.9269999694824219,0.44,0.08137459307909012,MissedShots,Barcelona,Anssumane Fati
78,0.8369999694824218,0.66,0.0849655419588089,BlockedShot,Barcelona,Ferrán Torres
79,0.8040000152587891,0.4979999923706055,0.07219516485929489,MissedShots,Barcelona,Frenkie de Jong
80,0.775,0.6270000076293946,0.03902987018227577,BlockedShot,Barcelona,Ferrán Torres
92,0.7709999847412109,0.43900001525878907,0.089436374604702,MissedShots,Barcelona,Raphinha
